Kunta,Maakunta,Ei tietoa saatavilla,Oppilaita kunnassa,Oppilaita väistötiloissa 2018,Osuus 2018,"Oppilaita väistötiloissa 2019, arvio","Osuus 2019, arvio"
Pornainen,Uusimaa,FALSE,819,0,"0,000",0,"0,000"
Porvoo,Uusimaa,EPÄTOSI,5552,760,"0,137",640,"0,115"
Posio,Lappi,FALSE,215,0,"0,000",0,"0,000"
Pudasjärvi,Pohjois-Pohjanmaa,FALSE,833,0,"0,000",0,"0,000"
Pukkila,Uusimaa,FALSE,162,0,"0,000",0,"0,000"
Punkalaidun,Pirkanmaa,FALSE,302,0,"0,000",0,"0,000"
Puolanka,Kainuu,FALSE,175,0,"0,000",0,"0,000"
Puumala,Etelä-Savo,FALSE,127,0,"0,000",0,"0,000"
Pyhtää,Kymenlaakso,FALSE,620,0,"0,000",0,"0,000"
Pyhäjoki,Pohjois-Pohjanmaa,FALSE,393,10,"0,025",60,"0,153"
Pyhäjärvi,Pohjois-Pohjanmaa,TRUE,,,,,
Pyhäntä,Pohjois-Pohjanmaa,FALSE,265,0,"0,000",0,"0,000"
Pyhäranta,Varsinais-Suomi,FALSE,128,0,"0,000",0,"0,000"
Pälkäne,Pirkanmaa,FALSE,618,0,"0,000",0,"0,000"
Pöytyä,Varsinais-Suomi,FALSE,990,324,"0,327",324,"0,327"
Raahe,Pohjois-Pohjanmaa,TRUE,,,,,
Raasepori,Uusimaa,FALSE,2647,0,"0,000",0,"0,000"
Raisio,Varsinais-Suomi,FALSE,2235,0,"0,000",0,"0,000"
Rantasalmi,Etelä-Savo,FALSE,292,0,"0,000",0,"0,000"
Ranua,Lappi,FALSE,538,300,"0,558",300,"0,558"
Rauma,Satakunta,FALSE,3263,1257,"0,385",1257,"0,385"
Rautalampi,Pohjois-Savo,FALSE,313,112,"0,358",0,"0,000"
Rautavaara,Pohjois-Savo,FALSE,144,0,"0,000",0,"0,000"
Rautjärvi,Etelä-Karjala,FALSE,232,0,"0,000",0,"0,000"
Reisjärvi,Pohjois-Pohjanmaa,TRUE,,,,,
Riihimäki,Kanta-Häme,EPÄTOSI,3100,216,"0,070",216,"0,070"
Ristijärvi,Kainuu,FALSE,105,0,"0,000",0,"0,000"
Rovaniemi,Lappi,FALSE,5685,1056,"0,186",1056,"0,186"
Ruokolahti,Etelä-Karjala,FALSE,461,0,"0,000",0,"0,000"
Ruovesi,Pirkanmaa,FALSE,381,0,"0,000",0,"0,000"
Rusko,Varsinais-Suomi,FALSE,763,0,"0,000",0,"0,000"
Rääkkylä,Pohjois-Karjala,FALSE,136,33,"0,243",33,"0,243"
Saarijärvi,Keski-Suomi,TRUE,,,,,
Salla,Lappi,FALSE,222,0,"0,000",0,"0,000"
Salo,Varsinais-Suomi,FALSE,5351,615,"0,115",615,"0,115"
Sastamala,Pirkanmaa,FALSE,2455,0,"0,000",377,"0,154"
Sauvo,Varsinais-Suomi,FALSE,331,68,"0,205",68,"0,205"
Savitaipale,Etelä-Karjala,FALSE,285,0,"0,000",0,"0,000"
Savonlinna,Etelä-Savo,FALSE,2828,0,"0,000",0,"0,000"
Savukoski,Lappi,FALSE,62,0,"0,000",0,"0,000"
Seinäjoki,Etelä-Pohjanmaa,FALSE,6688,0,"0,000",0,"0,000"
Sievi,Pohjois-Pohjanmaa,FALSE,883,0,"0,000",0,"0,000"
Siikainen,Satakunta,FALSE,113,0,"0,000",0,"0,000"
Siikajoki,Pohjois-Pohjanmaa,FALSE,753,0,"0,000",0,"0,000"
Siikalatva,Pohjois-Pohjanmaa,TRUE,,,,,
Siilinjärvi,Pohjois-Savo,FALSE,2780,570,"0,205",840,"0,302"
Simo,Lappi,FALSE,321,120,"0,374",0,"0,000"
Sipoo,Uusimaa,FALSE,2700,350,"0,130",350,"0,130"
Siuntio,Uusimaa,FALSE,734,550,"0,749",550,"0,749"
Sodankylä,Lappi,FALSE,694,574,"0,827",574,"0,827"
Soini,Etelä-Pohjanmaa,FALSE,221,0,"0,000",0,"0,000"
Somero,Varsinais-Suomi,FALSE,855,0,"0,000",0,"0,000"
Sonkajärvi,Pohjois-Savo,FALSE,344,0,"0,000",0,"0,000"
Sotkamo,Kainuu,FALSE,1032,38,"0,037",38,"0,037"
Sulkava,Etelä-Savo,FALSE,176,0,"0,000",0,"0,000"
Suomussalmi,Kainuu,FALSE,574,457,"0,796",457,"0,796"
Suonenjoki,Pohjois-Savo,FALSE,646,0,"0,000",0,"0,000"
Sysmä,Päijät-Häme,FALSE,268,0,"0,000",0,"0,000"
Säkylä,Satakunta,FALSE,588,0,"0,000",0,"0,000"
Taipalsaari,Etelä-Karjala,FALSE,502,115,"0,229",115,"0,229"
Taivalkoski,Pohjois-Pohjanmaa,TRUE,,,,,
Taivassalo,Varsinais-Suomi,FALSE,154,0,"0,000",0,"0,000"
Tammela,Kanta-Häme,FALSE,657,0,"0,000",0,"0,000"
Tampere,Pirkanmaa,FALSE,17080,1400,"0,082",1400,"0,082"
Tervo,Pohjois-Savo,FALSE,102,0,"0,000",0,"0,000"
Tervola,Lappi,FALSE,325,0,"0,000",0,"0,000"
Teuva,Etelä-Pohjanmaa,FALSE,514,0,"0,000",0,"0,000"
Tohmajärvi,Pohjois-Karjala,FALSE,346,152,"0,439",152,"0,439"
Toholampi,Keski-Pohjanmaa,FALSE,426,182,"0,427",182,"0,427"
Toivakka,Keski-Suomi,FALSE,331,0,"0,000",0,"0,000"
Tornio,Lappi,FALSE,2400,0,"0,000",0,"0,000"
Turku,Varsinais-Suomi,FALSE,14000,650,"0,046",650,"0,046"
Tuusniemi,Pohjois-Savo,FALSE,279,0,"0,000",0,"0,000"
Tuusula,Uusimaa,FALSE,5158,804,"0,156",704,"0,136"
Tyrnävä,Pohjois-Pohjanmaa,FALSE,1521,0,"0,000",0,"0,000"
Ulvila,Satakunta,FALSE,1478,464,"0,314",464,"0,314"
Urjala,Pirkanmaa,FALSE,444,0,"0,000",0,"0,000"
Utajärvi,Pohjois-Pohjanmaa,FALSE,307,0,"0,000",0,"0,000"
Utsjoki,Lappi,FALSE,142,33,"0,232",33,"0,232"
Uurainen,Keski-Suomi,FALSE,608,0,"0,000",0,"0,000"
Uusikaarlepyy,Pohjanmaa,FALSE,820,0,"0,000",0,"0,000"
Uusikaupunki,Varsinais-Suomi,FALSE,1345,0,"0,000",0,"0,000"
Vaala,Pohjois-Pohjanmaa,FALSE,246,0,"0,000",0,"0,000"
Vaasa,Pohjanmaa,FALSE,5844,184,"0,031",184,"0,031"
Valkeakoski,Pirkanmaa,FALSE,2249,522,"0,232",522,"0,232"
Valtimo,Pohjois-Karjala,FALSE,196,0,"0,000",0,"0,000"
Vantaa,Uusimaa,FALSE,22484,999,"0,044",939,"0,042"
Varkaus,Pohjois-Savo,FALSE,1743,0,"0,000",0,"0,000"
Vehmaa,Varsinais-Suomi,FALSE,200,80,"0,400",80,"0,400"
Vesanto,Pohjois-Savo,FALSE,165,70,"0,424",70,"0,424"
Vesilahti,Pirkanmaa,FALSE,655,0,"0,000",0,"0,000"
Veteli,Keski-Pohjanmaa,FALSE,386,0,"0,000",0,"0,000"
Vieremä,Pohjois-Savo,FALSE,369,152,"0,412",0,"0,000"
Vihti,Uusimaa,FALSE,3348,0,"0,000",0,"0,000"
Viitasaari,Keski-Suomi,FALSE,487,0,"0,000",0,"0,000"
Vimpeli,Etelä-Pohjanmaa,FALSE,355,0,"0,000",0,"0,000"
Virolahti,Kymenlaakso,FALSE,314,0,"0,000",0,"0,000"
Virrat,Pirkanmaa,FALSE,577,228,"0,395",228,"0,395"
Vöyri,Pohjanmaa,FALSE,644,128,"0,199",128,"0,199"
Ylitornio,Lappi,FALSE,274,0,"0,000",0,"0,000"
Ylivieska,Pohjois-Pohjanmaa,FALSE,1976,805,"0,407",805,"0,407"
Ylöjärvi,Pirkanmaa,FALSE,4435,0,"0,000",0,"0,000"
Ypäjä,Kanta-Häme,FALSE,210,0,"0,000",0,"0,000"
Ähtäri,Etelä-Pohjanmaa,FALSE,615,36,"0,059",36,"0,059"
Äänekoski,Keski-Suomi,FALSE,2036,157,"0,077",63,"0,031"
